filename,category,group
299174769_1093355507936828_5493736172950443591_n_webp.rf.p6n3LIOMe3a6d2YX5sQb.webp,Everyday Casual Kurta,Everyday Casual
370376294_18301858573184038_507245302549748220_n_jpg.rf.pix5qfkj3rhJimi0uio1.jpg,Everyday Casual Dupatta,Everyday Casual
314767668_684787543313411_1718005130739568213_n_jpg.rf.tTj3UeR9SKKllS2A8CKC.jpg,Other,Other
300779719_2885491921747795_9171942045991016438_n_webp.rf.p3JU4rFohecxwylujBO1.webp,Everyday Casual Kurta,Everyday Casual
366522074_2171928306330432_7736992729550133138_n_jpg.rf.otPsA4fbC4E4M76X3L19.jpg,Everyday Casual Kurta,Everyday Casual
365457734_1067919244176957_5299596633046408413_n_jpg.rf.tXOeqKkrlVVex7lPT88d.jpg,Wedding Guest Kurta,Formal
322393878_566804878232082_6900534869874472995_n_webp.rf.tVcLeeMKEgrCW3EgP2s5.webp,Everyday Casual Kurta,Everyday Casual
352631694_981371029729850_7837543564222363272_n_jpg.rf.thRKFs7YI6h6P8Uz7lcB.jpg,Everyday Casual Kurta,Everyday Casual
313651656_672314327593526_4819146704749658023_n_jpg.rf.tkvg39ryoHuhQS7s3Onx.jpg,Other,Other
385883498_752013713400551_3544631902699284894_n_jpg.rf.tiTzandgdRGiHXftH3cb.jpg,Everyday Casual Kurta,Everyday Casual
192686930_1257326911349076_3938590294785214807_n_jpg.rf.uD8XJrVI63obFka0fQNK.jpg,Bridal Frock,Formal
307917221_777853910093174_6137864748511615262_n_webp.rf.tr4UEkbGq9hMliSwSw17.webp,Everyday Casual Kurta,Everyday Casual
332790736_157128500468458_1564956666240143257_n_jpg.rf.uXycr80dRVFYt9W3kvzS.jpg,Everyday Casual Kurta,Everyday Casual
362380873_798274191972663_2761154865037522274_n_jpg.rf.uxR6siU32tkqnLP2wmPI.jpg,Other,Other
329401342_867525854307970_5256761495079459402_n_jpg.rf.vTN085TSeytT9XrCzMAi.jpg,Everyday Casual Kurta,Everyday Casual
346906065_618691590177506_5614144992645689262_n_jpg.rf.vUlQ9dZI33n4Sq2fQQEW.jpg,Other,Other
347254439_666351532198274_8900764460151292193_n_jpg.rf.vOuH3sanA3Zi8cbXqfP6.jpg,Other,Other
356245327_132536106522122_355255403886761395_n_jpg.rf.vGRwlXK9A3PvKwZrlzR0.jpg,Everyday Casual Kurta,Everyday Casual
296098543_1012420752807319_762936857328058438_n_webp.rf.vnqlCRcvWxdxbUvDLVP9.webp,Other,Other
387004457_867805314705731_8655434208832908342_n_jpg.rf.vwhEZABMoCIvsgQ94Wdf.jpg,Everyday Casual Kurta,Everyday Casual
269462764_289868586417168_1799813884963839941_n_jpg.rf.vlwKtADviL2qTPzaRBEE.jpg,Bridal Maxi,Formal
340984494_1273638986842947_8860603272160520214_n_jpg.rf.vvpgsgKTJXBRee3hfBLK.jpg,Other,Other
316059290_5760884183998625_8070686857058549781_n_jpg.rf.vlrbNoEuEDOQTW31ojJy.jpg,Other,Other
362291409_663203139174859_4065137426536365016_n_jpg.rf.wYXy9Bn562pGh06JRr9l.jpg,Other,Other
316359028_497038265740093_7401313222128536124_n_jpg.rf.wDkxFPPdZQCZLZVYkEim.jpg,Everyday Casual Dupatta,Everyday Casual
340978870_3428628014072736_4899202771783712133_n_jpg.rf.vxV0dziKmfcPgNQn1rfc.jpg,Other,Other
318425732_705047864181740_4843092315182828071_n_jpg.rf.wZhbR8D1I0yP8Pk1cA7a.jpg,Everyday Casual Kurta,Everyday Casual
384381165_745190827414654_8164788312172262140_n_jpg.rf.wJNu0jcsWgno5H2HHnXM.jpg,Wedding Guest Sari,Formal
337461201_204442645617660_7628107524709484274_n_jpg.rf.wewyM4wSLXDRSqg1ho4X.jpg,Everyday Casual Kurta,Everyday Casual
366447450_332896165757095_6115688337194975491_n_jpg.rf.wsfM01xY5wfrsU8mXu8q.jpg,Other,Other
382996612_178798981917901_5795768961316262427_n_jpg.rf.wahXYjPHQCyz6mtko4Xq.jpg,Wedding Guest Sari,Formal
365611692_300532089157153_2990460670899632133_n_jpg.rf.wtIJHC0OpYGrD35987SU.jpg,Other,Other
356920354_18194528329269217_1363964764276649936_n_jpg.rf.xBtVlPPQCLCOWkDy0EvB.jpg,Other,Other
386641574_706146434879048_583701848222837703_n_jpg.rf.wwDibgL61PB9oly2Rm74.jpg,Everyday Casual Kurta,Everyday Casual
299535900_760684111743202_1590327962569630073_n_jpg.rf.duXaPyHPR7BvFX4Klg02.jpg,Other,Other
332853407_628149112487063_3792678651944425606_n_jpg.rf.drNwYw5dGNk3F6kG3iko.jpg,Everyday Casual Kurta,Everyday Casual
363360648_664219069073266_825110590155759896_n_jpg.rf.dKLvnq44KbF4NqIxg7YO.jpg,Other,Other
318160489_708052173851308_9213987568882273600_n_jpg.rf.dxT09GbMr9cTy3wWxGop.jpg,Other,Other
387751147_709128277914197_8046803899967418071_n_jpg.rf.eOznzd5IZ6ip9C17lTKX.jpg,Everyday Casual Kurta,Everyday Casual
297654014_172845855250116_7788403132976993784_n_jpg.rf.eg3gA9PrkMisGc3GrdZL.jpg,Everyday Casual Kurta,Everyday Casual
350123695_5908618699266687_6136677686222709601_n_jpg.rf.eBRd5GglUaa1mYA0vA0X.jpg,Everyday Casual Kurta,Everyday Casual
363314006_3939343766292478_5466681720438957220_n_jpg.rf.ef7MB8R6QH4ZMMsYguIq.jpg,Semi-Formal Kurta,Semi Formal
267881024_1933484110157227_5907648427780731483_n_jpg.rf.fA9b3bt3Dqwqkv77g58v.jpg,Wedding Guest Choli,Formal
281790444_789428268727883_1507899686400210958_n_jpg.rf.eq0RNBCMq1kV17DzbFNr.jpg,Wedding Guest Maxi,Formal
220909427_1925551560934124_6058279010798005694_n_jpg.rf.et8m8syK4pHFYnvr2FGo.jpg,Bridal Maxi,Formal
313855336_814803713153976_646306881712490102_n_jpg.rf.fBpOuR5VEGlffeQvPjt4.jpg,Everyday Casual Kurta,Everyday Casual
209366543_1416455085391218_4838947415222105696_n_jpg.rf.fVayG9RLJv3SnWhbQEpH.jpg,Bridal Lehenga,Formal
360153896_289932363550459_8093778243395791197_n_jpg.rf.fOg2KiQSr97TKBpR7ZRV.jpg,Other,Other
339671859_956772179008051_3401585246341864173_n_jpg.rf.fFe7LlaEHs6jaGTpKi5S.jpg,Everyday Casual Dupatta,Everyday Casual
334278424_724427695884038_3889598156205996419_n_jpg.rf.fVk9JNpN5r1HvxyKRaxx.jpg,Semi-Formal Kurta,Semi Formal
365225802_279262164749385_6367452647838907851_n_jpg.rf.fa1RrS9gG7VyHhiJlwq3.jpg,Other,Other
295181919_447627467376699_2529497501173070617_n_webp.rf.fh4oGW2Q2bkGAWJINEn0.webp,Other,Other
302018193_1327329317802807_379433134775492181_n_webp.rf.flcROL32nKRgxtsW6rzL.webp,Everyday Casual Kurta,Everyday Casual
317356751_171430418855115_7748928910185330910_n_jpg.rf.foL5dydayWV7kgE4AkpO.jpg,Everyday Casual Kurta,Everyday Casual
354861509_230238973105188_5186585259499855505_n_jpg.rf.fpQOFm7GycDexrWiXgj2.jpg,Everyday Casual Kurta,Everyday Casual
344758363_1282935542635626_523153586661415637_n_jpg.rf.g3vDMCI4YYnX2kgSgrHt.jpg,Other,Other
318008061_672790371008382_2777753880586044776_n_jpg.rf.g4J6zsX6OpZIABOxCGSo.jpg,Other,Other
349224820_1661049414370950_4121830526223430682_n_jpg.rf.gR3AkPQJU8eiG86qMDHC.jpg,Everyday Casual Kurta,Everyday Casual
348868251_221052807348278_3913964672794430327_n_jpg.rf.h605ILMt2U8XJPD2poxK.jpg,Everyday Casual Kurta,Everyday Casual
294630055_615146273205664_8309775263236088544_n_jpg.rf.g7Zb7JDJabClRqF3owNe.jpg,Everyday Casual Kurta,Everyday Casual
288831712_750375733084309_5955774124752215527_n_jpg.rf.hQHriHvNLMTiZ2wHaQdy.jpg,Other,Other
376685662_718382073661886_8477176548356113111_n_jpg.rf.fuIzoa4PGVd4g793toub.jpg,Everyday Casual Kurta,Everyday Casual
317383072_6341402102542180_4359281186700291389_n_webp.rf.hEt8HheFd6xiUfLOvxFL.webp,Everyday Casual Shalwar,Everyday Casual
308069881_432339335556231_1880033232661398658_n_jpg.rf.JDRkhtRFnpdgKKX4FIMn.jpg,Everyday Casual Kurta,Everyday Casual
321846520_549037253919425_951399024093665332_n_jpg.rf.hWIzFqPAgHHbw7VBbokb.jpg,Everyday Casual Kurta,Everyday Casual
385343145_336259535559364_3090994581003067494_n_jpg.rf.JO3Vrx2OMP15cY5vEisq.jpg,Wedding Guest Kurta,Formal
387845640_732458412254252_4323093769990856362_n_jpg.rf.JmVmOdj1Q3T5xU5Ntkhl.jpg,Everyday Casual Kurta,Everyday Casual
339446207_1687788674995356_5763921945843720409_n_jpg.rf.JyTvwBOdEeoWwXrancar.jpg,Everyday Casual Kurta,Everyday Casual
306962756_797487791394148_1326495153351080082_n_jpg.rf.Ju6q1YQmoWMGumCqbr56.jpg,Everyday Casual Kurta,Everyday Casual
312132839_1369877527094229_4581793899069477462_n_jpg.rf.K0g1LaH4N8CPHnQvV3ML.jpg,Other,Other
299778573_1696864094019451_3242712608613508724_n_webp.rf.K8RLbv0mBiSWPzol3Jxh.webp,Everyday Casual Frock,Everyday Casual
333837346_514037494138451_2026797686570085808_n_jpg.rf.K13VSK6CMIUfiJkwNOvK.jpg,Everyday Casual Kurta,Everyday Casual
360109858_680752644091496_2229672510197519484_n_jpg.rf.JuRAlLtr9o5kiG9PFckf.jpg,Semi-Formal Kurta,Semi Formal
387036404_334267292450299_4032591768210659191_n_jpg.rf.JRDMvK5hUDb1yVhD6YMR.jpg,Everyday Casual Kurta,Everyday Casual
343292572_254171890305534_3040300324183741461_n_jpg.rf.KGjzc92B001IVUnukwgO.jpg,Everyday Casual Kurta,Everyday Casual
367498006_18298800385184038_8581392829968705426_n_jpg.rf.KXfKiHfZOlF10EEoGUcn.jpg,Other,Other
345659433_550258687263070_7168907127795331261_n_jpg.rf.KXPuRP57QnB72MPbZMPQ.jpg,Other,Other
387266192_659946196291117_6445644573860185779_n_jpg.rf.KkM3PUrz56ncyiFHdAiV.jpg,Everyday Casual Kurta,Everyday Casual
365483255_6448445788582563_7251320338590838217_n_jpg.rf.K8aqAolKaTDwDCksIj3S.jpg,Everyday Casual Kurta,Everyday Casual
288854308_337345878563209_1094161782175262145_n_jpg.rf.KZgVPJmmLhsetQpq9mut.jpg,Other,Other
369859369_18261276259093875_2710445143439198771_n_jpg.rf.KmH8Dq01TdijLzHCGyzs.jpg,Other,Other
341169720_193836506763668_5837813081976655638_n_jpg.rf.LTjvrOhDjORgWS1xGqbz.jpg,Everyday Casual Kurta,Everyday Casual
356636894_794998758762073_2596665167763870972_n_jpg.rf.L6c191hEz1w2c37Hdkqa.jpg,Other,Other
340508578_1749342182173562_5552187259347513120_n_jpg.rf.L1yXdyywbjG324xwSclV.jpg,Everyday Casual Kurta,Everyday Casual
348664026_197977196480033_1867611530567833930_n_jpg.rf.KgcAgV32L0WqqehShprk.jpg,Everyday Casual Dupatta,Everyday Casual
332338374_157821987063854_9053334717767367222_n_jpg.rf.LbFeYso5I4aKuaHSFAuh.jpg,Semi-Formal Dupatta,Semi Formal
323758133_1051985049064487_5015412672962904145_n_jpg.rf.Lu9g4hsKfDg1yCX9BxVv.jpg,Other,Other
369584654_1027586405350300_2624975861035361958_n_jpg.rf.LwPcwCBr6HBCgSVwfoGj.jpg,Other,Other
363352224_18379117387000463_8635682856411634490_n_jpg.rf.MFwgV0p09caPBqFRFwGX.jpg,Other,Other
373542036_630616752536109_8926015521893384128_n_jpg.rf.MRwLMZeWebuQOjsYi3bO.jpg,Everyday Casual Kurta,Everyday Casual
348482758_243279994977221_5051567792288535785_n_jpg.rf.MIh4c0same4cflEbwLX9.jpg,Semi-Formal Kurta,Semi Formal
355460212_645554294271596_5268929393623993622_n_jpg.rf.MoOBvdoJggT5Q7hb8mqO.jpg,Everyday Casual Kurta,Everyday Casual
324402361_1427824614424029_4504989544726191767_n_jpg.rf.UvZSqSr4cREkcI1hJ3fH.jpg,Everyday Casual Kurta,Everyday Casual
374220252_18262998592093875_4337602333036034066_n_jpg.rf.MpnAtwGlYoGwC1o2QRaB.jpg,Other,Other
223425993_368621661365655_3511012472566206581_n_jpg.rf.Up8JDqCGHWuQZGsybie4.jpg,Bridal Lehenga,Formal
293735956_499519828643978_2410225211273845484_n_jpg.rf.UvsmeGXLMOQTRWDNKnH9.jpg,Everyday Casual Bell Bottom,Everyday Casual
333658721_750842976658616_772783453802748581_n_jpg.rf.UvbAh9UX9aKeKyGBB2iO.jpg,Everyday Casual Kurta,Everyday Casual
349305198_778238267210309_3638234170615493416_n_jpg.rf.V8jrPGJ6YeJ1cN6dOSIC.jpg,Everyday Casual Frock,Everyday Casual
329507298_1309721699869248_8030618739677875409_n_jpg.rf.MSx7SdYlQVNMH20Dhz9Y.jpg,Semi-Formal Maxi,Semi Formal
368693220_201503002710305_8729107866637526128_n_webp.rf.W4l2rFGSV5greIebq0To.webp,Everyday Casual Kurta,Everyday Casual
333104382_221984020197972_3408507571466794044_n_jpg.rf.Vd7J3SqFp9FAlvpYwJYt.jpg,Everyday Casual Straight Pant,Everyday Casual
383002142_889367032545955_6070305307361858522_n_jpg.rf.VallypFshedvQMjH4gOv.jpg,Wedding Guest Kurta,Formal
327851124_1469634577109701_6534917078302811408_n_jpg.rf.VUfjZB433zKvUjypjCs6.jpg,Other,Other
340989765_585549396859080_8423744776225219426_n_jpg.rf.WNn5A3H3DYBk6k4Yxn11.jpg,Other,Other
311871183_1194346931120453_4712307140291082902_n_jpg.rf.WPycSJogi1xh9YwOON6F.jpg,Other,Other
314291016_1518260795302599_1825816938686567077_n_jpg.rf.WJRkaq0GszOLwagcvxNk.jpg,Other,Other
339811722_1589441698198487_9017778034891255850_n_jpg.rf.WmWTAqsZcKAB6Q5dfBiA.jpg,Everyday Casual Kurta,Everyday Casual
313297359_2051397665070555_8214105084048723346_n_jpg.rf.WXrjl1oNEm5S5RNqBnuX.jpg,Other,Other
330240274_589288189370276_4176332156134427572_n_jpg.rf.WW6llrdYtTl1howJjg7t.jpg,Other,Other
365917412_190131153906929_169156825536429852_n_jpg.rf.WJZ5hpO18joP8yt3l6n0.jpg,Everyday Casual Dupatta,Everyday Casual
311781754_789466922386261_4061213107008299470_n_jpg.rf.X8spct2CKEJygbgecKvQ.jpg,Other,Other
283667383_108097301847275_55056252923745599_n_jpg.rf.X0FZRAvrzhWQe8eBmVT2.jpg,Other,Other
341014685_999783194518104_8692735994003269366_n_jpg.rf.XdcNyeZyKwMdu6xtJ1LD.jpg,Other,Other
339274515_1259722548307945_7668821276580691803_n_jpg.rf.XVZG9jJEI9dGplVMWNeH.jpg,Other,Other
296368846_437176138368249_5256504050269172589_n_webp.rf.XmiU3FPUsvWDYr93vBjn.webp,Everyday Casual Frock,Everyday Casual
354806672_641697787566273_1861173797874877001_n_jpg.rf.XHGmHgn5a0vQcx0DLOUI.jpg,Everyday Casual Kurta,Everyday Casual
329630442_2305970042897011_3758089945938229022_n_jpg.rf.YfbsorpVWTe6fQb0B9QE.jpg,Everyday Casual Kurta,Everyday Casual
308836282_1032699417408845_5009995619786676247_n_webp.rf.YA5im0AwoF9VTKJusJ7X.webp,Everyday Casual Kurta,Everyday Casual
299546659_771337414010935_2440840232920863380_n_webp.rf.XrnCuJvykCnsbdP6QDYg.webp,Other,Other
340994590_534681918854579_4461981844283027914_n_jpg.rf.YkChqPtlcur7pxndIDmg.jpg,Other,Other
331771196_3491663544394910_8097358084274490387_n_jpg.rf.YkzTkb9HYLOlhRwQ91q4.jpg,Other,Other
288866639_729685434907384_4161841571917894004_n_jpg.rf.Z9TEQAwqwc6EpAJRLa9d.jpg,Other,Other
347581218_669946985172062_244540897011857738_n_jpg.rf.ZHtpOn4y5g2oz3XUyXo7.jpg,Other,Other
371973738_680582000759861_6416387246019758063_n_jpg.rf.ZUOjHdBygMcrg7INJCRs.jpg,Other,Other
289514675_5282872738445480_3063705359955559405_n_jpg.rf.5Lc438QZmrxz37WuxrFJ.jpg,Other,Other
299979096_569851054926027_4725905474920949899_n_webp.rf.530I2YwtvcO0MGeN23Jo.webp,Everyday Casual Kurta,Everyday Casual
141255268_1044334939386596_2091616132826637822_n_jpg.rf.5RWSeXtQeMV0dFBe7Pot.jpg,Wedding Guest Lehenga,Formal
278176415_358204486272891_4587705394510079835_n_jpg.rf.57EL4ZerQqcrdpZUx64k.jpg,Wedding Guest Maxi,Formal
294556929_514748013753388_1225741359789231881_n_webp.rf.5TTXNkccXrOhlKNK7Xpa.webp,Everyday Casual Kurta,Everyday Casual
320983553_1292681798177100_6653665205033954075_n_jpg.rf.63zAEIMeysRHMQH40It9.jpg,Everyday Casual Kurta,Everyday Casual
275619213_652621185844457_3029180201626612476_n_jpg.rf.5XCmFlcNSGAc8Mj81y5V.jpg,Wedding Guest Dupatta,Formal
372533926_257003670500130_2997994226557843287_n_jpg.rf.5e9NnItXeW8CLvziPfFM.jpg,Everyday Casual Kurta,Everyday Casual
291616190_3199500923697582_1780069833065357883_n_jpg.rf.64WD6SpVb4xcrBzhZ558.jpg,Everyday Casual Trousers,Everyday Casual
338070755_965747734794242_432774819316405254_n_jpg.rf.65sKbBdlnm3CQ36rBpF5.jpg,Everyday Casual Kurta,Everyday Casual
360064654_1300233894252100_7310209690426640769_n_jpg.rf.PEJxu8PQ6syGJuN9U7JF.jpg,Other,Other
341093658_771625584273981_3800938080764971940_n_jpg.rf.PRvBAVeS19E2Obcsevgz.jpg,Other,Other
314086361_690678139090183_9117986325841951964_n_jpg.rf.PMuEhqsvv8ya0ISgmE2X.jpg,Other,Other
330026822_203775635561026_8390463089012467486_n_jpg.rf.Q2q9wtssMDjW0TzD33Ba.jpg,Semi-Formal Kurta,Semi Formal
328990180_926693981693845_7248594410207059909_n_jpg.rf.PaPknxW28d4xJLYyeCZo.jpg,Semi-Formal Dupatta,Semi Formal
296089220_465287455444082_5828937588038248200_n_webp.rf.Pnwa7fQ7o3PBZnqNW2QS.webp,Everyday Casual Kurta,Everyday Casual
311662825_884547442513888_3516148509368560498_n_webp.rf.QFXBSMm24JAfFafRBGiQ.webp,Everyday Casual Kurta,Everyday Casual
337337509_6506638532702912_3598896540692336488_n_jpg.rf.QHVLFVv1IaGdWPVXPTZ9.jpg,Everyday Casual Kurta,Everyday Casual
353434994_1439299686847638_1304777717776833654_n_jpg.rf.QOFrny3e5deVlvXkq0HY.jpg,Everyday Casual Kurta,Everyday Casual
385489809_2563551060476302_5318982081772926565_n_jpg.rf.Q7H8jzPshdtAHSlNreJN.jpg,Wedding Guest Maxi,Formal
361912094_6769803936384517_3062134265300247185_n_jpg.rf.Qcwm3X8IXEbezwwPbCO1.jpg,Other,Other
277819383_160900969663725_2725301206382642001_n_jpg.rf.R1WpjXoR1qgDgzqJBqZC.jpg,Wedding Guest Sharara,Formal
318470739_713292227048133_2198342756735772738_n_jpg.rf.QOVt0IAIBiXBRH6YioG6.jpg,Other,Other
315775318_508691544518035_7143729640474214884_n_jpg.rf.QVNF7tAeH3fgoqf3nt7Q.jpg,Everyday Casual Kurta,Everyday Casual
311855166_1034973403837426_1830149941401539918_n_webp.rf.R72yaWxK5ERkHPx9Ou5z.webp,Everyday Casual Kurta,Everyday Casual
351274647_1292419168375001_6501306962470698_n_jpg.rf.R9LYwyEj5ID9F2QRx8LH.jpg,Everyday Casual Kurta,Everyday Casual
274185971_3036733446657055_6574055446811318502_n_jpg.rf.R36P5x5yeef74k4nA1HJ.jpg,Wedding Guest Maxi,Formal
370705265_1461323727995340_5689513702365601543_n_jpg.rf.R4jIZXdYIXleilT81fQm.jpg,Other,Other
391709867_337771632099865_8876825505853689971_n_jpg.rf.RRHtlTqLQpY16JeiFU67.jpg,Everyday Casual Kurta,Everyday Casual
344270853_1293393231598973_2560212706203478721_n_jpg.rf.RFHwEpEczDgSLxnO1W4O.jpg,Other,Other
360180237_827974901996496_6488571437056267411_n_jpg.rf.RRtkggmXBfEefgKFtxk1.jpg,Other,Other
335747853_1257602235175001_4685792833706986264_n_jpg.rf.RXUtyI0hrh2euEoQgwqR.jpg,Everyday Casual Kurta,Everyday Casual
325211623_702566904660077_3535269333673193612_n_jpg.rf.Rps2r20Y8KqifRhOhJpb.jpg,Semi-Formal Kurta,Semi Formal
332259292_501776655490931_8083980350860801908_n_jpg.rf.RqIoyCoTXzw0TuYTLHXt.jpg,Semi-Formal Kurta,Semi Formal
348448066_1299737547301808_813647456347921275_n_jpg.rf.RxkfBO5SaHHZH7IU1lKF.jpg,Other,Other
387770635_18391620898000463_5767139650194939007_n_jpg.rf.RTuMFurlcA8eKL0hDDHO.jpg,Everyday Casual Kurta,Everyday Casual
319807690_558737535669355_3678373967036746267_n_jpg.rf.S9kVfQeqRziynKwVvHcW.jpg,Everyday Casual Kurta,Everyday Casual
372045911_1485935792221952_9212499400699665667_n_jpg.rf.RzIsv4ESINKsasGgrRfh.jpg,Semi-Formal Kurta,Semi Formal
343260052_744305010721558_3180814378363753165_n_jpg.rf.SH2CIRI5vB6DqJTDYW8n.jpg,Other,Other
391111045_289478753896547_6267231710023187672_n_jpg.rf.SdIIXfkzTx9G0hnnyfCO.jpg,Everyday Casual Kurta,Everyday Casual
309488883_788375412394904_6256332317746129425_n_webp.rf.MEgxIVjyr97oyOHwLAb2.webp,Other,Other
319583360_104998685799717_895750117274634639_n_jpg.rf.M59QZuA8uCCK6XxueXg6.jpg,Everyday Casual Kurta,Everyday Casual
362252612_293191583224537_802240161772950772_n_jpg.rf.MY44O7TS83w15rmXbSfb.jpg,Other,Other
364754705_18056760037447477_2676253070557933057_n_jpg.rf.MTfSrRY2JJ6FhgZ6jBD3.jpg,Everyday Casual Kurta,Everyday Casual
350584618_1936814953338691_4530788065449810042_n_jpg.rf.N0lw8Y1SyoiunCxcPkYY.jpg,Everyday Casual Kurta,Everyday Casual
345527182_803826510750247_4419918946479206555_n_jpg.rf.N8zXFIG2wUy51yMhhvrC.jpg,Other,Other
297148327_382685120669037_8883229630449067499_n_webp.rf.MfL1TeGyTyst1qHPvlT8.webp,Everyday Casual Kurta,Everyday Casual
352992721_662675275899233_3859229077350246037_n_jpg.rf.N0rOJfjV9RN5zynMedav.jpg,Everyday Casual Kurta,Everyday Casual
338291437_607898097529134_8797675268137831581_n_jpg.rf.NIvuznIx8HKGQLrhls4j.jpg,Everyday Casual Kurta,Everyday Casual
385531130_2098098157196233_3795863982302219732_n_jpg.rf.NZAwWyXx1svk6FBwP4DL.jpg,Everyday Casual Kurta,Everyday Casual
326392501_1002886114020586_2467375589486860114_n_jpg.rf.NRYFDJeUS5BNoleysZvT.jpg,Everyday Casual Kurta,Everyday Casual
352997042_223526020147272_1035657633716637942_n_jpg.rf.NpehWTZloBH8asfSYpb3.jpg,Everyday Casual Kurta,Everyday Casual
363300414_829357558550507_3111061310297907116_n_jpg.rf.Nv1LUsxudEawWKy8FFYP.jpg,Other,Other
